Date,Adj Close,Close,High,Low,Open,Volume
2020-05-12,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,70
2020-05-13,9.0,9.0,9.0,9.0,9.0,230
2020-05-14,9.0,9.0,9.0,9.0,9.0,0
2020-05-15,9.0,9.0,9.0,9.0,9.0,0
2020-05-18,9.0,9.0,9.0,9.0,9.0,0
2020-05-19,9.0,9.0,9.0,9.0,9.0,0
2020-05-20,9.0,9.0,9.0,9.0,9.0,0
2020-05-21,9.0,9.0,9.0,9.0,9.0,0
2020-05-22,9.0,9.0,9.0,9.0,9.0,0
2020-05-25,9.0,9.0,9.0,9.0,9.0,0
2020-05-26,9.0,9.0,9.0,9.0,9.0,0
2020-05-27,9.5,9.5,9.5,9.5,9.5,50
2020-05-28,9.5,9.5,9.5,9.5,9.5,100
2020-05-29,9.5,9.5,9.5,9.5,9.5,0
2020-06-01,9.5,9.5,9.5,9.5,9.5,0
2020-06-02,9.5,9.5,9.5,9.5,9.5,0
2020-06-03,9.5,9.5,9.5,9.5,9.5,0
2020-06-04,9.5,9.5,9.5,9.5,9.5,0
2020-06-05,9.5,9.5,9.5,9.5,9.5,0
2020-06-09,9.5,9.5,9.5,9.5,9.5,0
2020-06-10,9.5,9.5,9.5,9.5,9.5,0
2020-06-11,9.5,9.5,9.5,9.5,9.5,0
2020-06-12,9.899999618530273,9.899999618530273,10.0,9.899999618530273,10.0,370
2020-06-15,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-06-16,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,250
2020-06-17,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,160
2020-06-18,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,0
2020-06-19,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,0
2020-06-22,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,0
2020-06-23,9.75,9.75,9.75,9.75,9.75,150
2020-06-24,9.75,9.75,9.75,9.75,9.75,3
2020-06-25,9.75,9.75,9.75,9.739999771118164,9.75,64
2020-06-26,9.75,9.75,9.75,9.75,9.75,0
2020-06-29,9.75,9.75,9.75,9.75,9.75,0
2020-06-30,9.75,9.75,9.75,9.75,9.75,0
2020-07-01,9.75,9.75,9.75,9.75,9.75,0
2020-07-02,9.75,9.75,9.75,9.75,9.75,0
2020-07-03,9.75,9.75,9.75,9.75,9.75,0
2020-07-06,9.75,9.75,9.75,9.75,9.75,0
2020-07-07,9.75,9.75,9.75,9.75,9.75,0
2020-07-08,9.5600004196167,9.5600004196167,9.5600004196167,9.5600004196167,9.5600004196167,3
2020-07-09,9.5600004196167,9.5600004196167,9.5600004196167,9.5600004196167,9.5600004196167,0
2020-07-10,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,20
2020-07-13,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-14,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-15,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-16,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-17,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-20,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-21,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-22,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-23,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-24,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-27,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-28,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-29,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-30,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-07-31,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-03,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-04,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-05,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-06,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-07,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-10,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-08-11,9.579999923706055,9.579999923706055,9.579999923706055,9.579999923706055,9.579999923706055,1000
2020-08-12,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,1050
2020-08-13,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,577
2020-08-14,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-17,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-18,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-19,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-20,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-21,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-24,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-25,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-26,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-27,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-28,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-08-31,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-01,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,1000
2020-09-02,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-03,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-04,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,10
2020-09-07,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-09-08,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,290
2020-09-09,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-09-10,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-09-11,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,51
2020-09-14,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0
2020-09-15,9.90999984741211,9.90999984741211,9.90999984741211,9.899999618530273,9.899999618530273,52
2020-09-16,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,350
2020-09-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,206
2020-09-18,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,10
2020-09-21,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0
2020-09-22,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,206
2020-09-23,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,86
2020-09-24,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-25,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-28,9.600000381469727,9.600000381469727,9.800000190734863,9.600000381469727,9.800000190734863,1577
2020-09-29,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-09-30,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,233
2020-10-01,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-02,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-05,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-06,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-07,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-08,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2020-10-09,9.5,9.5,9.90999984741211,9.5,9.90999984741211,1625
2020-10-12,9.5,9.5,9.5,9.5,9.5,86
2020-10-13,9.5,9.5,9.5,9.5,9.5,0
2020-10-14,9.5,9.5,9.5,9.5,9.5,0
2020-10-15,9.5,9.5,9.5,9.5,9.5,0
2020-10-16,9.5,9.5,9.5,9.5,9.5,0
2020-10-19,9.5,9.5,9.5,9.5,9.5,0
2020-10-20,9.5,9.5,9.5,9.5,9.5,0
2020-10-21,9.5,9.5,9.5,9.5,9.5,0
2020-10-22,9.5,9.5,9.5,9.5,9.5,0
2020-10-23,9.5,9.5,9.5,9.5,9.5,0
2020-10-26,9.5,9.5,9.5,9.5,9.5,0
2020-10-27,9.5,9.5,9.5,9.5,9.5,350
2020-10-28,9.5,9.5,9.5,9.5,9.5,0
2020-10-29,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,1597
2020-10-30,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-02,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-03,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-04,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-05,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-06,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-09,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-10,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-11,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-12,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-13,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-16,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-17,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-18,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-19,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-20,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-23,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-24,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-25,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-26,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-27,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-11-30,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-12-01,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-12-02,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-12-03,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-12-04,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0
2020-12-07,9.5,9.5,9.5,9.5,9.5,1
2020-12-08,9.5,9.5,9.5,9.5,9.5,0
2020-12-09,9.5,9.5,9.5,9.5,9.5,0
2020-12-10,9.5,9.5,9.5,9.5,9.5,0
2020-12-11,9.5,9.5,9.5,9.5,9.5,0
2020-12-14,9.5,9.5,9.5,9.5,9.5,0
